,Genotype,BLUEs,ExperimentalSite,IRDNC_ID
1,Genotype1,2217.229682,IRRICT,NA
2,Genotype2,3234.35647,IRRICT,NA
3,Genotype3,4578.003447,IRRICT,NA
4,Genotype4,3678.078331,IRRICT,NA
5,Genotype5,3210.622178,IRRICT,NA
6,Genotype6,2727.637665,IRRICT,NA
7,Genotype7,1925.978016,IRRIHNT,NA
8,Genotype8,2827.226707,IRRICT,NA
9,Genotype9,2637.261652,IRRIHNT,NA
10,Genotype10,3306.799361,IRRIHNT,NA
11,Genotype11,3153.87529,IRRICT,NA
12,Genotype12,-273.7185097,IRRICT,NA
13,Genotype13,1246.828582,IRRIHNT,NA
14,Genotype14,2116.287292,MMPangkone,NA
15,Genotype15,3461.314221,IRRIHNT,NA
16,Genotype16,4629.006572,MMYezin,NA
17,Genotype17,4748.116872,IRRICT,NA
18,Genotype18,2397.642486,MMKyaukse,NA
19,Genotype19,1997.017119,BDLalpur,IRD10904
20,Genotype20,4968.805639,IRRICT,IRD10904
21,Genotype21,511.7769827,BDTanore,IRD10904
22,Genotype22,2807.875872,MMKyaukse,IRD10904
23,Genotype23,5043.866137,IRRIHNT,IRD10904
24,Genotype24,4303.889632,MMPangkone,IRD10904
25,Genotype25,3725.498712,MMYezin,IRD10904
26,Genotype26,5302.924921,IRRICT,IRD10654
27,Genotype27,798.5986881,BDTanore,IRD10654
28,Genotype28,4829.555294,MMKyaukse,IRD10654
29,Genotype29,3535.752878,MMPangkone,IRD10654
30,Genotype30,4117.238073,MMYezin,IRD10654
31,Genotype31,3400.074289,BDLalpur,IRD10654
32,Genotype32,5339.344875,IRRIHNT,IRD10654
33,Genotype33,544.0556052,BDTanore,IRD10211
34,Genotype34,3903.878144,MMPangkone,IRD10211
35,Genotype35,3530.059263,MMYezin,IRD10211
36,Genotype36,2794.377277,IRRICT,IRD10211
37,Genotype37,3297.52907,MMKyaukse,IRD10211
38,Genotype38,4997.95127,IRRIHNT,IRD10211
39,Genotype39,1424.098837,BDLalpur,IRD10211
40,Genotype40,3898.993793,MMYezin,IRD10690
41,Genotype41,3996.596694,IRRIHNT,IRD10690
42,Genotype42,304.2859273,BDTanore,IRD10690
43,Genotype43,2605.988372,MMPangkone,IRD10690
44,Genotype44,3358.997093,MMKyaukse,IRD10690
45,Genotype45,3972.375833,IRRICT,IRD10690
46,Genotype46,2333.010336,BDLalpur,IRD10690
47,Genotype47,2974.052863,MMYezin,IRD10697
48,Genotype48,727.8175313,BDTanore,IRD10697
49,Genotype49,4044.416718,IRRIHNT,IRD10697
50,Genotype50,2839.65225,BDLalpur,IRD10697
51,Genotype51,4107.47093,MMPangkone,IRD10697
52,Genotype52,2794.620058,MMKyaukse,IRD10697
53,Genotype53,4367.171548,IRRICT,IRD10697
54,Genotype54,2957.435067,MMYezin,IRD10721
55,Genotype55,3337.774607,IRRIHNT,IRD10721
56,Genotype56,301.8746273,BDTanore,IRD10721
57,Genotype57,2314.04284,BDLalpur,IRD10721
58,Genotype58,3152.97282,MMKyaukse,IRD10721
59,Genotype59,2724.476744,MMPangkone,IRD10721
60,Genotype60,4492.392029,IRRICT,IRD10721
61,Genotype61,5259.135982,MMYezin,IRD10279
62,Genotype62,735.3160405,BDTanore,IRD10279
63,Genotype63,2727.115502,IRRIHNT,IRD10279
64,Genotype64,2901.524548,BDLalpur,IRD10279
65,Genotype65,4283.459302,MMPangkone,IRD10279
66,Genotype66,2264.288372,MMKyaukse,IRD10279
67,Genotype67,4019.531295,IRRICT,IRD10279
68,Genotype68,3827.153263,IRRIHNT,IRD10602
69,Genotype69,3549.988779,IRRICT,IRD10602
70,Genotype70,3270.884393,IRRIHNT,IRD10515
71,Genotype71,4164.322937,MMYezin,IRD10515
72,Genotype72,4214.62106,IRRICT,IRD10515
73,Genotype73,2807.151163,MMKyaukse,IRD10515
74,Genotype74,1974.089147,BDLalpur,IRD10515
75,Genotype75,3609.593023,MMPangkone,IRD10515
76,Genotype76,718.8021765,BDTanore,IRD10515
77,Genotype77,3226.073719,IRRICT,IRD10493
78,Genotype78,1041.972272,BDTanore,IRD10493
79,Genotype79,5169.24498,IRRIHNT,IRD10493
80,Genotype80,3140.486638,BDLalpur,IRD10493
81,Genotype81,2642.289244,MMPangkone,IRD10493
82,Genotype82,2347.059425,MMYezin,IRD10493
83,Genotype83,3782.107558,MMKyaukse,IRD10493
84,Genotype84,6217.800727,IRRIHNT,IRD10925
85,Genotype85,1918.780256,MMPangkone,IRD10925
86,Genotype86,5279.935585,IRRICT,IRD10925
87,Genotype87,2474.973601,MMYezin,IRD10925
88,Genotype88,2653.081395,MMKyaukse,IRD10925
89,Genotype89,836.5384615,BDTanore,IRD10925
90,Genotype90,1956.663437,BDLalpur,IRD10925
91,Genotype91,2852.685724,MMYezin,IRD10370
92,Genotype92,2664.200581,MMKyaukse,IRD10370
93,Genotype93,5679.10562,IRRICT,IRD10370
94,Genotype94,2350.584038,MMPangkone,IRD10370
95,Genotype95,2277.307817,BDLalpur,IRD10370
96,Genotype96,5756.666388,IRRIHNT,IRD10370
97,Genotype97,337.0080501,BDTanore,IRD10370
98,Genotype98,3426.600036,MMPangkone,IRD10413
