Designation	blues_s	blues_ns	MPI	YSI						
IR129391.B.12.B.3.1	493.2187961	7271.83724	3882.528018	0.067825885						
IR129391.B.19.B.2.1	227.0739674	7714.415392	3970.74468	0.029435019						
IR129391.B.44.B.4.1	364.1401412	6474.481341	3419.310741	0.056242365						
IR129391.B.46.B.1.1	1460.821827	5650.479349	3555.650588	0.258530602						
IR129391.B.6.B.4.1	2552.498499	6162.866306	4357.682403	0.41417392						
IR129391.B.9.B.4.1	2284.511021	6790.908785	4537.709903	0.336407261						
IR129398.B.14.B.1.1	1138.456609	4575.893651	2857.17513	0.248794377						
IR129398.B.14.B.4.1	2338.850646	5069.688425	3704.269536	0.461340116						
IR129398.B.17.B.1.1	337.0780372	8941.857636	4639.467837	0.037696645						
IR129398.B.24.B.2.1	1783.706619	6289.014228	4036.360424	0.283622608						
IR129398.B.26.B.3.1	2238.980821	6495.31427	4367.147546	0.344707081						
IR129398.B.3.B.1.1	52.0783395	5206.796779	2629.437559	0.010001992						
IR129398.B.3.B.2.1	2222.761142	7162.322597	4692.54187	0.31034083						
IR129398.B.37.B.1.1	819.0026385	5592.214896	3205.608767	0.146454071						
IR129398.B.39.B.4.1	1153.667229	7752.427532	4453.047381	0.148813675						
IR129398.B.45.B.2.1	2474.29766	6613.899941	4544.098801	0.374105699						
IR129398.B.52.B.1.1	468.2559197	NA	NA	NA						
IR129398.B.57.B.3.1	1462.674971	6880.826643	4171.750807	0.212572565						
IR129398.B.59.B.3.1	941.975164	6288.052012	3615.013588	0.149803971						
IR129398.B.65.B.1.1	1946.86342	6524.168239	4235.51583	0.298407912						
IR129398.B.7.B.3.1	570.6597183	5946.012165	3258.335942	0.09597352						
IR129398.B.7.B.4.1	980.9843344	NA	NA	NA						
IR129398.B.73.B.4.1	2827.466769	8003.544818	5415.505794	0.353276808						
IR129403.B.12.B.2.1	1952.84148	6062.231111	4007.536296	0.32213247						
IR129403.B.14.B.4.1	2188.044734	6630.607945	4409.32634	0.329991571						
IR129403.B.15.B.3.1	995.7331398	5940.741607	3468.237373	0.167610916						
